step,step_k,run,lm_loss,ppl,cost,q_cost,k_cost
50000,50.0,alibi,3.018738,20.465450,,,
50000,50.0,cost001,3.026789,20.630880,0.088619,0.073363,0.103874
50000,50.0,m_fixed,3.004972,20.185660,0.250000,0.250000,0.250000
50000,50.0,mosar0,3.004264,20.171370,0.182255,0.122774,0.241736
50000,50.0,prope075,3.003174,20.149390,,,
50000,50.0,rope_m_mask,3.027598,20.647580,,,
50000,50.0,s_fixed,3.005847,20.203330,0.062500,0.062500,0.062500
50000,50.0,vanilla,3.013268,20.353810,,,
100000,100.0,alibi,2.829350,16.934460,,,
100000,100.0,cost001,2.826870,16.892500,0.090405,0.074584,0.106227
100000,100.0,m_fixed,2.809525,16.602030,0.250000,0.250000,0.250000
100000,100.0,mosar0,2.812040,16.643840,0.202179,0.147766,0.256592
100000,100.0,prope075,2.815874,16.707770,,,
100000,100.0,rope_m_mask,2.820021,16.777200,,,
100000,100.0,s_fixed,2.817135,16.728850,0.062500,0.062500,0.062500
100000,100.0,vanilla,2.816816,16.723520,,,
150000,150.0,alibi,2.813778,16.672780,,,
150000,150.0,cost001,2.823551,16.836530,0.092397,0.076881,0.107912
150000,150.0,m_fixed,2.803617,16.504230,0.250000,0.250000,0.250000
150000,150.0,mosar0,2.802998,16.494020,0.207837,0.157665,0.258010
150000,150.0,prope075,2.807561,16.569450,,,
150000,150.0,rope_m_mask,2.835853,17.044940,,,
150000,150.0,s_fixed,2.802572,16.487000,0.062500,0.062500,0.062500
150000,150.0,vanilla,2.819103,16.761810,,,
200000,200.0,alibi,2.790418,16.287830,,,
200000,200.0,cost001,2.794578,16.355720,0.093026,0.077665,0.108387
200000,200.0,m_fixed,2.776188,16.057690,0.250000,0.250000,0.250000
200000,200.0,mosar0,2.776242,16.058560,0.214411,0.169481,0.259341
200000,200.0,prope075,2.788017,16.248760,,,
200000,200.0,rope_m_mask,2.803977,16.510170,,,
200000,200.0,s_fixed,2.778794,16.099590,0.062500,0.062500,0.062500
200000,200.0,vanilla,2.791115,16.299180,,,
250000,250.0,alibi,2.688179,14.704880,,,
250000,250.0,cost001,2.698009,14.850140,0.093760,0.078980,0.108540
250000,250.0,m_fixed,2.674662,14.507440,0.250000,0.250000,0.250000
250000,250.0,mosar0,2.673873,14.496010,0.215604,0.174311,0.256897
250000,250.0,prope075,2.686602,14.681700,,,
250000,250.0,rope_m_mask,2.708812,15.011420,,,
250000,250.0,s_fixed,2.677178,14.544000,0.062500,0.062500,0.062500
250000,250.0,vanilla,2.683889,14.641920,,,
300000,300.0,alibi,2.718339,15.155120,,,
300000,300.0,cost001,2.728993,15.317450,0.092426,0.078910,0.105942
300000,300.0,m_fixed,2.707053,14.985050,0.250000,0.250000,0.250000
300000,300.0,mosar0,2.705677,14.964440,0.216464,0.177298,0.255629
300000,300.0,prope075,2.715889,15.118050,,,
300000,300.0,rope_m_mask,2.738983,15.471250,,,
300000,300.0,s_fixed,2.714408,15.095670,0.062500,0.062500,0.062500
300000,300.0,vanilla,2.723772,15.237690,,,
350000,350.0,alibi,2.684673,14.653410,,,
350000,350.0,cost001,2.690875,14.744570,0.091750,0.078566,0.104933
350000,350.0,m_fixed,2.671092,14.455740,0.250000,0.250000,0.250000
350000,350.0,mosar0,2.674593,14.506440,0.217131,0.183570,0.250691
350000,350.0,prope075,2.680964,14.599160,,,
350000,350.0,rope_m_mask,2.705848,14.967000,,,
350000,350.0,s_fixed,2.678311,14.560470,0.062500,0.062500,0.062500
350000,350.0,vanilla,2.688200,14.705180,,,
400000,400.0,alibi,2.669185,14.428200,,,
400000,400.0,cost001,2.680795,14.596700,0.091676,0.078819,0.104533
400000,400.0,m_fixed,2.658578,14.275980,0.250000,0.250000,0.250000
400000,400.0,mosar0,2.657568,14.261570,0.224396,0.190072,0.258721
400000,400.0,prope075,2.666329,14.387060,,,
400000,400.0,rope_m_mask,2.686926,14.686470,,,
400000,400.0,s_fixed,2.660979,14.310290,0.062500,0.062500,0.062500
400000,400.0,vanilla,2.673380,14.488850,,,
450000,450.0,alibi,2.621889,13.761700,,,
450000,450.0,cost001,2.631238,13.890960,0.091166,0.078754,0.103579
450000,450.0,m_fixed,2.607928,13.570900,0.250000,0.250000,0.250000
450000,450.0,mosar0,2.607827,13.569530,0.220716,0.186950,0.254482
450000,450.0,prope075,2.617937,13.707410,,,
450000,450.0,rope_m_mask,2.639691,14.008880,,,
450000,450.0,s_fixed,2.612922,13.638840,0.062500,0.062500,0.062500
450000,450.0,vanilla,2.623736,13.787140,,,
500000,500.0,alibi,2.556821,12.894760,,,
500000,500.0,cost001,2.570617,13.073890,0.090444,0.079164,0.101724
500000,500.0,m_fixed,2.548849,12.792380,0.250000,0.250000,0.250000
500000,500.0,mosar0,2.550699,12.816060,0.219139,0.187877,0.250402
500000,500.0,prope075,2.559641,12.931170,,,
500000,500.0,rope_m_mask,2.580227,13.200140,,,
500000,500.0,s_fixed,2.549606,12.802060,0.062500,0.062500,0.062500
500000,500.0,vanilla,2.564029,12.988030,,,
550000,550.0,alibi,2.578238,13.173900,,,
550000,550.0,cost001,2.592044,13.357040,0.089472,0.078289,0.100654
550000,550.0,m_fixed,2.569432,13.058400,0.250000,0.250000,0.250000
550000,550.0,mosar0,2.571590,13.086610,0.221937,0.193148,0.250725
550000,550.0,prope075,2.583107,13.238200,,,
550000,550.0,rope_m_mask,2.602353,13.495460,,,
550000,550.0,s_fixed,2.573195,13.107640,0.062500,0.062500,0.062500
550000,550.0,vanilla,2.586134,13.278340,,,
610000,610.0,alibi,2.518559,12.410710,,,
610000,610.0,cost001,2.529929,12.552620,0.088702,0.078271,0.099133
610000,610.0,m_fixed,2.506902,12.266860,0.250000,0.250000,0.250000
610000,610.0,mosar0,2.507054,12.268730,0.219335,0.191915,0.246754
610000,610.0,prope075,2.518455,12.409410,,,
610000,610.0,rope_m_mask,2.541876,12.703480,,,
610000,610.0,s_fixed,2.510661,12.313070,0.062500,0.062500,0.062500
610000,610.0,vanilla,2.527104,12.517210,,,
